xhb,0,602,0,,0,Frequency,Cumulative %
bea,0,602,,,,,
xpj,9,602,,,,,
lt,0,602,,,,,
lqx,0,602,,,,,
lrb,0,602,,,,,
xph,14,602,,,,,
xm2,0,602,,,,,
bee,0,602,,,,,
bi,0,602,,,,,
xqi,1,602,,,,,
bhl,2,602,,,,,
bhu,1,602,,,,,
xpx,12,602,,,,,
bia,0,602,,,,,
lql,31,602,,,,,
ltd,1,602,,,,,
xml,0,602,,,,,
xqy,0,602,,,,,
lrh,0,602,,,,,
xqq,1,602,,,,,
xmu,0,602,,,,,
xmh,50,602,,,,,
xqz,0,602,,,,,
xmq,4,602,,,,,
xqf,2,602,,,,,
be,1,602,,,,,
xr,0,602,,,,,
bel,0,602,,,,,
xm,22,602,,,,,
ber,0,602,,,,,
xrr,1,602,,,,,
xmc,4,602,,,,,
xqx,1,602,,,,,
xmy,0,602,,,,,
xrt,3,602,,,,,
bes,0,602,,,,,
xqp,12,602,,,,,
bet,0,602,,,,,
xnf,0,602,,,,,
lsg,0,602,,,,,
lrc,11,602,,,,,
xsj,1,602,,,,,
lqy,24,602,,,,,
xsw,0,602,,,,,
xts,0,602,,,,,
xrb,81,602,,,,,
xsn,4,602,,,,,
xmt,54,602,,,,,
lrn,4,602,,,,,
xtx,0,602,,,,,
xsh,112,602,,,,,
xni,0,602,,,,,
ls3,1,602,,,,,
xsf,23,602,,,,,
lrw,15,602,,,,,
xu5,113,602,,,,,
xtd,4,602,,,,,
xsu,44,602,,,,,
xqu,33,602,,,,,
xtk,30,602,,,,,
bil,0,602,,,,,
bgm,0,602,,,,,
beo,37,602,,,,,
lrs,27,602,,,,,
xu2,322,602,,,,,
bfs,0,602,,,,,
xue,0,602,,,,,
xnl,2,602,,,,,
xty,28,602,,,,,
xn,5,602,,,,,
lsk,0,602,,,,,
xp,0,602,,,,,
ltl,0,602,,,,,
bgs,0,602,,,,,
lsn,0,602,,,,,
lsj,8,602,,,,,
lsr,0,602,,,,,
xny,25,602,,,,,
xu4,254,602,,,,,
xu8,5,602,,,,,
bhf,0,602,,,,,
ltt,0,602,,,,,
lu1,1,602,,,,,
lsw,1,602,,,,,
lsz,0,602,,,,,
ltq,331,602,,,,,
bis,56,602,,,,,
lu4,0,602,,,,,
xpf,115,602,,,,,
bj7,0,602,,,,,
biy,0,602,,,,,
xq,0,602,,,,,
bjd,0,602,,,,,
bin,146,602,,,,,
bir,0,602,,,,,
lty,14,602,,,,,
xp3,4,602,,,,,
lsp,59,602,,,,,
bhy,3,602,,,,,
bjp,0,602,,,,,
lu7,0,602,,,,,
bhb,14,602,,,,,
lu9,0,602,,,,,
bit,44,602,,,,,
lue,0,602,,,,,
lu2,106,602,,,,,
bhh,44,602,,,,,
lsy,0,602,,,,,
lu,128,602,,,,,
biz,85,602,,,,,
luc,0,602,,,,,
xss,0,602,,,,,
xpp,6,602,,,,,
lui,0,602,,,,,
lss,11,602,,,,,
lu6,26,602,,,,,
bjh,43,602,,,,,
bib,3,602,,,,,
bkk,0,602,,,,,
lug,0,602,,,,,
lu8,156,602,,,,,
xqd,0,602,,,,,
xsl,0,602,,,,,
lup,0,602,,,,,
bjq,10,602,,,,,
xsy,0,602,,,,,
bhz,0,602,,,,,
ltc,20,602,,,,,
bjw,12,602,,,,,
bjv,93,602,,,,,
luv,0,602,,,,,
xpz,314,602,,,,,
bk,310,602,,,,,
bla,0,602,,,,,
luu,0,602,,,,,
blc,0,602,,,,,
luj,20,602,,,,,
xtj,0,602,,,,,
xu,0,602,,,,,
xs,29,602,,,,,
luo,21,602,,,,,
bku,1,602,,,,,
lun,39,602,,,,,
xqj,112,602,,,,,
xsd,1,602,,,,,
luz,1,602,,,,,
lv2,0,602,,,,,
xqk,5,602,,,,,
blh,0,602,,,,,
xu6,0,602,,,,,
bkg,42,602,,,,,
lta,15,602,,,,,
xt,158,602,,,,,
bm2,0,602,,,,,
lth,32,602,,,,,
lts,0,602,,,,,
lv8,0,602,,,,,
lux,84,602,,,,,
bim,0,602,,,,,
bm,255,602,,,,,
lv0,29,602,,,,,
bmc,0,602,,,,,
lvk,0,602,,,,,
lv9,0,602,,,,,
xqw,65,602,,,,,
xry,0,602,,,,,
xrs,91,602,,,,,
lvt,0,602,,,,,
lvv,0,602,,,,,
ltj,3,602,,,,,
lti,28,602,,,,,
lve,3,602,,,,,
blx,10,602,,,,,
xud,4,602,,,,,
lvy,0,602,,,,,
xsq,0,602,,,,,
xsg,0,602,,,,,
bio,4,602,,,,,
lwf,0,602,,,,,
bmb,18,602,,,,,
xu7,74,602,,,,,
bma,9,602,,,,,
lv5,529,602,,,,,
xux,1,602,,,,,
lwk,5,602,,,,,
xuj,65,602,,,,,
xvj,0,602,,,,,
xs2,5,602,,,,,
lvu,29,602,,,,,
xu9,0,602,,,,,
lwu,0,602,,,,,
lum,0,602,,,,,
ltx,10,602,,,,,
lu5,3,602,,,,,
xuy,6,602,,,,,
xus,20,602,,,,,
lw,14,602,,,,,
bkc,0,602,,,,,
bjc,290,602,,,,,
xsx,10,602,,,,,
lwc,60,602,,,,,
lu3,227,602,,,,,
lwl,153,602,,,,,
biu,0,602,,,,,
bkn,4,602,,,,,
lws,3,602,,,,,
